aaron	a: r O n
agressífri	a: k r E s i v r I
agressíft	a: k r E s i f t
agressífu	a: k r E s i v Y
agressífum	a: k r E s i v Y m
agressífur	a: k r E s i v Y r
agressíva	a: k r E s i v a
agressív	a: k r E s i v
agressívan	a: k r E s i v a n
agressívara	a: k r E s i v a r a
agressívar	a: k r E s i v a r
agressívari	a: k r E s i v a r I
agressívi	a: k r E s i v I
agressívir	a: k r E s i v I r
agressívra	a: k r E s i v r a
agressívri	a: k r E s i v r I
agressívt	a: k r E s i v t
agressívu	a: k r E s i v Y
agressívum	a: k r E s i v Y m
agressívur	a: k r E s i v Y r
ags	a c j E: E s
agüero	a k u E r ou
aguero	a k v E r ou
agúrka	a: k u r_0 k a
agúrkan	a: k u r_0 k a n
agúrkna	a: k u r_0 k n a
agúrku	a: k u r_0 k Y
agúrkum	a: k u r_0 k Y m
agúrkuna	a: k u r_0 k Y n a
agúrkunnar	a: k u r_0 k Y n a r
agúrkunni	a: k u r_0 k Y n I
agúrkunum	a: k u r_0 k O n Y m
agúrkur	a: k u r_0 k Y r
agúrkurnar	a: k u r_0 k Y r t n a r
agúrkusalat	a k u r_0 k Y s a l a t
agúrkusneið	a: k u r_0 k Y s t n ei D
agúrkusneiðar	a: k u r_0 k Y s t n ei D a r
agúrkusneiðum	a: k u r_0 k Y s t n ei D Y m
ahmadinejad	a x m a t i n ei j a t
ahmed	a x m E t
aid	ei: t
aik	a: I: k_h au:
aim	ei: m
ain't	ei n_0 t
airbnb	E: r p i j E n p i
airbus	E: r_0 p 9 s
aircraft	E: r_0 k_h r a f t
air	E: r
aires	ai: r E s
airline	E: r l ai n
airlines	E: r l ai n s
airport	E: r_0 p_h O r_0 t
ajax	ai j a k s
aka	a: k a
akademíunnar	a: k a t E m i j Y n a r
akandi	a: k a n t I
aki	a: c I
akkeri	a h c E r I
akkilesarhæll	a h c I l E s a r_0 h ai t l_0
akkillesarhæll	a h c I l E s a r_0 h ai t l_0
akkúrat	a h k u r a t
aknet	a: k n E t
akrafjall	a: k r a f j a t l_0
akrahreppi	a: k r a r_0 E h p I
akranes	a: k r a n E s
akranesi	a: k r a n E s I
akraneskaupstaðar	a: k r a n E s k_h 9i p s t a D a r
akraneskirkja	a: k r a n E s c_h I r_0 c a
akraness	a: k r a n E s
akrar	a: k r a r
akreina	a: k r ei n a
akrein	a: k r ei n
akreinar	a: k r ei n a r
akri	a: k r I
akrinum	a: k r I n Y m
akrópólis	a: k r ou p_h ou l I s
akstri	a k s t r I
akstur	a k s t Y r
aksturinn	a k s t Y r I n
aksturs	a k s t Y r_0 s
akstursklúbbi	a k s t Y r_0 s k_h l u p I
akstursleiðin	a k s t Y r_0 s t l ei D I n
aktífir	a x t i v I r
aktífur	a x t i v Y r
aktygi	a: k t_h i j I
akurbrekku	a: k Y r p r E h k Y
akureyrar	a: k Y r ei r a r
akureyrarbæ	a: k Y r ei r a r p ai
akureyrarbæjar	a: k Y r ei r a r p ai j a r
akureyrarbær	a: k Y r ei r a r p ai r
akureyrarflugvelli	a: k Y r ei r a r_0 f l Y G v E t l I
akureyrarkirkja	a: k Y r ei r a r c_h I r_0 c a
akureyrarkirkju	a: k Y r ei r a r_0 c_h I r_0 c Y
akureyri	a: k Y r ei r I
akureyringa	a: k Y r ei r i N k a
akureyringar	a: k Y r ei r i N k a r
